profile_id,display_name,status,old_questions,new_questions,rejected,error,knowledge_titles
6b764436-4a96-4e7e-b23f-b2a8072c48f5,考研老王,failed_quality_gate,"[""从本科双非到跨考985计算机有哪些经验？"",""关于「985计算机硕士，三个月上岸选手」能分享什么？"",""关于计算机有什么建议？""]","[""计组太抽象怎么复习？""]","[{""question"":""数学真题怎么刷效果最好？"",""reason"":""no_knowledge_evidence""},{""question"":""8数据结构怎么拿高分？"",""reason"":""leading_number""},{""question"":""备考过程中如何调整心态？"",""reason"":""no_knowledge_evidence""},{""question"":""最后三个月每天怎么安排时间？"",""reason"":""no_knowledge_evidence""},{""question"":""考研后期学不进去怎么办？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,数学复习策略 | 专业课408复习 | 备考心态管理 | 最后三个月冲刺安排
43bdf17a-9172-460a-8b4d-7b63b0356514,测0667504,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""TTS测试先跑脚本吗？"",""reason"":""no_knowledge_evidence""},{""question"":""如何确认TTS正常？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""测试语音功能要跑脚本？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试脚本是什么？"",""reason"":""no_knowledge_evidence""},{""question"":""Agent知识库至少两条吗？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
81e75041-58ca-4cbc-9183-3dc16187cde9,测1031095,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""语音测试脚本怎么跑？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS测试有哪些注意点？"",""reason"":""no_knowledge_evidence""},{""question"":""Agent创建需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""如何确保知识库条目合格？"",""reason"":""no_knowledge_evidence""},{""question"":""测试语音功能时先做什么？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS正常确认具体步骤？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
c34474cd-a5e2-4aff-a9de-39cd7cb6bd60,测1885479,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能如何跑脚本？""]","[{""question"":""TTS测试有哪些注意事项？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent知识库至少几条？"",""reason"":""no_knowledge_evidence""},{""question"":""测试方向踩过哪些坑？"",""reason"":""no_knowledge_evidence""},{""question"":""测试脚本运行一次够吗？"",""reason"":""no_knowledge_evidence""},{""question"":""确认TTS正常需要哪些步骤？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
2457b627-f646-49a3-bba3-b6f7780781ff,测3709219,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""语音功能测试怎么跑脚本？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS测试有哪些关键步骤？"",""reason"":""no_knowledge_evidence""},{""question"":""测试语音时脚本有什么用？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent必须两条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""跑脚本确认TTS正常可靠吗？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试踩过哪些坑？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
10000000-0000-0000-0000-000000000002,活泼牢大,written,"[""公开报道里常提的那套有什么实战经验？"",""不冒充真人私信、不编一起吃泡面看球的细节有什么实战经验？"",""知识库里有的方向有什么实战经验？"",""失败、复盘、再来一季有什么实战经验？""]","[""先动五分钟怎么骗自己起床？"",""emo了怎么抢回情绪球权？"",""野球场社恐怎么开始社交？"",""被说不行怎么用数据打脸？""]","[{""question"":""换城市适应怎么上手？"",""reason"":""no_knowledge_evidence""},{""question"":""总决赛输了怎么调整再来？"",""reason"":""no_knowledge_evidence""}]",,「先动五分钟」专治各种不想动 | emo了可以丧，但别单曲循环 | 想打球又怕尴尬？从「捡球」开始社交 | 童年换环境＝新手村重开，先别慌 | 新秀被喷「太狂」？用结果让噪音闭嘴 | 双核吵架还能夺冠？学「场上互补」别学八卦 | 别人说你「没谁谁就不行」？别被二元对立PUA | 81分那种夜晚：手感是平时堆出来的
10ff8b66-fc03-4e3f-8296-0e46c23b97e2,迷茫的引路人,written,"[""易经怎么帮做职业决策？"",""卦对应哪些职业方向？"",""真太阳时怎么校准排盘？""]","[""职业迷茫怎么用卦象分析？"",""卦对应哪些职业方向？"",""真太阳时排盘怎么校准？""]","[{""question"":""时间起卦具体怎么算？"",""reason"":""no_knowledge_evidence""},{""question"":""语音咨询流程是怎样的？"",""reason"":""no_knowledge_evidence""},{""question"":""日柱丙申适合什么工作？"",""reason"":""no_knowledge_evidence""}]",,职业身份与服务定位 | 非线性收入与高不确定性服务模式 | 开启对话的玄学式共情 | 我用易经做职业规划，核心不是“算吉凶”，… | 三步决策法：定卦定位→读象析势→用爻定策 | 易经职业规划三步决策法 | 玄学为方法论的职业咨询 | 易经职业规划三步决策法
28283a20-ce3c-49ce-8a03-6362d79421a0,Leo_真的不熬夜,written,"[""数学和专业课时间怎么分配？"",""真题阶段怎么吃透？"",""复试机试怎么准备？"",""面试有哪些考察重点？""]","[""个月备考数学和专业课如何分配？"",""复试机试需要多少刷题量？"",""面试除了口语还看什么？""]","[{""question"":""政治只学两周真的够用吗？"",""reason"":""no_knowledge_evidence""},{""question"":""真题阶段一天一套好还是两天？"",""reason"":""no_knowledge_evidence""},{""question"":""备考时间短怎么选目标院校？"",""reason"":""no_knowledge_evidence""}]",,研途榜样｜凝思知其所向，笃行方至其远
338890c8-8778-41e6-97b0-1408b0039a85,🍊橙子味的周二,failed_quality_gate,"[""关于研途备考凝力，榜样传经上岸有什么经验？"",""关于211有什么建议？""]","[""考研动机怎么想清楚？"",""浙大软院复试被刷后怎么调剂？""]","[{""question"":""408和22408如何选择？"",""reason"":""leading_number""},{""question"":""8专业课怎么学？要过几轮？"",""reason"":""leading_number""},{""question"":""政治备考从几月开始合适？"",""reason"":""no_knowledge_evidence""},{""question"":""考研每天学多少小时？"",""reason"":""no_knowledge_evidence""}]",only 2 accepted questions,研途榜样｜研途备考凝力，榜样传经上岸
babde93c-8a71-4913-8505-d0727453fe9c,mmm红豆泥,written,"[""数分和高代复习怎么安排？"",""考研政治英语用什么资料？"",""如何关注考研公众号与制定计划？""]","[""浙大应用数学考研有哪些优势？"",""考研总成绩排名第四如何做到？"",""浙大应用数学考研排名经验分享？""]","[{""question"":""为什么选择浙大应用数学考研？"",""reason"":""no_knowledge_evidence""},{""question"":""浙大应用数学考研的劣势是什么？"",""reason"":""no_knowledge_evidence""},{""question"":""浙大考研择校优势劣势怎么评估？"",""reason"":""no_knowledge_evidence""}]",,研途榜样｜mmm红豆泥 应用数学硕士@浙江大学
f12d379e-92ba-4aba-957b-9731a25baf74,id随便啦_,failed_quality_gate,"[""浙大数院考研科目和题型从哪里查？"",""裴礼文、丘维声怎么搭配使用？"",""考研期间如何不被保研同学影响心态？""]",[],"[{""question"":""考研本校有哪些隐藏优势？"",""reason"":""no_knowledge_evidence""},{""question"":""飞跃手册对中等生参考价值大吗？"",""reason"":""no_knowledge_evidence""},{""question"":""暑假数学复习每天看多少页合适？"",""reason"":""no_knowledge_evidence""},{""question"":""肖秀荣1000题什么时候开始刷？"",""reason"":""no_knowledge_evidence""},{""question"":""英语单词早晚背够了吗？"",""reason"":""no_knowledge_evidence""},{""question"":""考研作息时间怎么安排最合理？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,研途榜样｜id随便啦_ 应用数学硕士@浙江大学
